customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
100101,25.0,Male,West,Graduate,Self-Employed,,300627.94,Other,665.0,11,122,37.38,2022-04-06,1
100102,62.0,Male,South,Post-Graduate,Unemployed,,230015.54,Other,791.0,8,99,12.5,2020-10-10,1
100103,59.0,Male,North,Graduate,Self-Employed,640643.67,257517.09,Other,704.0,10,98,63.32,2018-03-04,1
100104,61.0,Female,East,Secondary,Salaried,805775.35,451183.93,Car,704.0,3,20,21.39,2021-10-11,0
100105,48.0,Male,West,Secondary,Self-Employed,,388742.45,Car,578.0,0,89,51.61,2021-12-05,1
100106,27.0,Female,North,Post-Graduate,Unemployed,844368.67,427784.2,Education,792.0,7,93,58.96,2017-04-09,1
100107,29.0,Female,North,Graduate,Unemployed,357405.27,151845.19,Home,760.0,10,115,35.66,2019-10-31,1
100108,28.0,Female,East,Secondary,Salaried,775812.46,127390.7,Business,583.0,7,125,54.28,2017-12-27,1
100109,32.0,Female,West,Graduate,,413235.88,306009.15,Home,612.0,10,175,63.5,2019-01-25,1
100110,54.0,Female,East,Secondary,Salaried,757847.99,288882.79,Car,750.0,2,11,22.89,2017-02-03,0
100111,53.0,Male,East,Primary,Salaried,452529.73,20000.0,Education,794.0,8,63,52.06,2021-11-06,1
100112,43.0,Female,South,Primary,Self-Employed,670404.63,290515.87,Business,549.0,6,102,61.37,2015-01-17,1
100113,44.0,Female,South,Post-Graduate,Unemployed,907037.4,495677.5,Other,570.0,6,16,34.99,2023-03-12,1
100114,57.0,Female,East,Post-Graduate,Salaried,786587.27,477646.4,Other,638.0,4,186,21.37,2015-06-01,0
100115,55.0,Female,South,Graduate,Self-Employed,415544.73,166036.26,Car,476.0,11,49,30.03,2016-04-05,1
100116,,Male,North,Post-Graduate,Salaried,372223.19,335323.57,Education,652.0,11,54,75.32,2015-09-05,1
100117,60.0,Male,East,Graduate,Salaried,755268.07,143316.43,Home,,2,191,35.02,2021-01-13,0
100118,42.0,Female,West,Primary,Salaried,863893.57,238492.11,Car,535.0,9,198,17.54,2016-08-22,1
100119,47.0,Male,West,Primary,,685959.9,151572.1,Home,660.0,11,141,15.79,2015-04-08,1
100120,55.0,Female,North,Secondary,Self-Employed,497765.41,109718.11,Business,603.0,4,116,22.63,2018-01-06,0
100121,21.0,Male,West,Graduate,Salaried,608374.01,355994.98,Home,781.0,2,43,18.93,2016-06-22,0
100122,55.0,Male,West,Primary,Salaried,686488.83,284379.27,Business,604.0,2,17,44.65,2015-10-23,0
100123,57.0,Male,East,Primary,Salaried,582088.87,303293.37,Education,,0,41,34.33,2020-04-12,0
100124,34.0,Male,North,Graduate,Salaried,415743.87,325964.11,Car,602.0,3,155,68.9,2021-09-13,0
100125,23.0,Female,East,Secondary,Unemployed,812747.71,273670.16,Home,712.0,8,177,71.68,2020-08-22,1
100126,21.0,Male,North,Secondary,Salaried,975657.23,125484.95,Education,670.0,11,84,43.13,2016-03-13,1
100127,25.0,Other,East,Secondary,,885310.96,275246.95,Education,639.0,5,193,72.2,2018-11-23,0
100128,46.0,Female,East,Secondary,Self-Employed,165766.92,223855.75,Home,587.0,5,46,41.53,2020-07-12,1
100129,,Male,South,Primary,Salaried,,227031.63,Other,676.0,5,192,54.94,2016-10-26,0
100130,59.0,Female,West,Graduate,Self-Employed,715639.95,136762.64,Other,615.0,4,45,21.38,2021-09-13,0
100131,47.0,Female,North,Graduate,Salaried,468543.75,69255.38,Business,,1,19,13.68,2021-08-18,1
100132,29.0,Female,West,Primary,Salaried,207563.47,181931.76,Education,768.0,4,79,21.21,2017-09-30,0
100133,35.0,Male,South,Primary,Unemployed,577272.63,315443.14,Car,694.0,10,127,27.63,2016-07-12,1
100134,35.0,Female,North,Primary,Self-Employed,672736.31,241671.6,Car,,9,171,62.57,2021-12-07,1
100135,46.0,Female,South,Post-Graduate,,378629.02,463980.57,Education,619.0,2,104,22.15,2021-09-30,0
100136,,Male,West,Graduate,Self-Employed,846451.5,242137.13,Other,,9,81,19.15,2018-01-12,1
100137,33.0,Male,East,Graduate,Unemployed,841603.89,273389.48,Education,630.0,10,154,74.93,2016-10-27,1
100138,52.0,Female,South,Graduate,Salaried,693583.19,251994.48,Business,677.0,1,132,58.22,2016-04-27,0
100139,59.0,Male,South,Secondary,Salaried,325436.99,122482.35,Education,,11,70,43.13,2017-04-18,1
100140,52.0,Female,East,Primary,Salaried,547584.91,247424.69,Home,648.0,3,155,16.65,2020-05-18,0
100141,24.0,Male,West,Primary,Salaried,744738.58,121798.84,Other,587.0,9,198,69.63,2015-04-16,1
100142,50.0,Female,South,Primary,,731548.2,241781.41,Home,711.0,8,45,17.58,2018-05-17,1
100143,57.0,Female,West,Post-Graduate,Self-Employed,460194.17,38807.75,Home,653.0,6,190,52.77,2019-09-03,0
100144,43.0,Male,East,Graduate,Salaried,489521.86,241664.45,Education,535.0,9,170,56.74,2017-03-01,1
100145,59.0,Male,North,Primary,,455036.81,267765.74,Education,479.0,8,160,38.01,2017-03-22,1
100146,35.0,Female,South,Post-Graduate,Salaried,543422.32,276414.3,Car,674.0,2,47,73.79,2017-04-29,0
100147,63.0,Female,West,Primary,Salaried,502662.15,77855.14,Home,584.0,1,167,13.55,2015-06-19,1
100148,49.0,Female,East,Secondary,Self-Employed,466213.96,307686.22,Education,,8,153,67.27,2022-09-28,1
100149,56.0,Male,East,Graduate,Salaried,572476.46,329082.17,Car,588.0,5,191,48.77,2022-01-01,1
100150,33.0,Male,South,Post-Graduate,Salaried,607998.31,135019.96,Home,661.0,9,196,52.78,2015-12-16,1
100151,52.0,Male,North,Primary,Salaried,817410.56,368243.7,Car,620.0,3,113,79.08,2019-08-27,0
100152,27.0,Female,South,Graduate,Self-Employed,243745.55,272643.27,Other,790.0,3,101,50.79,2019-06-03,0
100153,42.0,Male,West,Post-Graduate,Salaried,843852.66,242773.94,Business,726.0,9,15,65.79,2021-11-18,1
100154,48.0,Male,East,Graduate,Salaried,450536.85,318143.47,Home,758.0,9,142,20.75,2020-07-01,1
100155,22.0,Female,North,Graduate,Unemployed,972101.35,444574.91,Education,652.0,5,101,66.65,2020-04-16,0
100156,62.0,Female,West,Secondary,Unemployed,734639.41,233105.33,Other,716.0,6,10,63.28,2019-10-18,0
100157,26.0,Male,South,Graduate,Salaried,709467.63,190720.26,Car,657.0,11,23,77.77,2018-01-09,1
100158,48.0,Male,East,Post-Graduate,Salaried,579197.07,499676.87,Business,768.0,10,92,75.5,2016-03-24,1
100159,,Female,South,Graduate,,1012604.82,229250.59,Home,644.0,9,40,24.98,2022-05-03,1
100160,64.0,Female,North,Post-Graduate,Self-Employed,593878.98,293998.38,Business,,4,188,42.55,2018-01-29,1
100161,64.0,Male,North,Graduate,Salaried,902339.48,229199.04,Other,490.0,7,130,73.8,2018-10-24,1
100162,40.0,Female,North,Primary,Salaried,485093.42,57153.1,Business,783.0,9,88,54.85,2019-12-24,1
100163,50.0,Female,North,Secondary,Self-Employed,743318.73,213097.15,Home,688.0,11,156,42.46,2019-08-11,1
100164,,Male,North,Primary,Unemployed,979636.16,383341.16,Other,694.0,0,111,17.63,2020-01-30,0
100165,48.0,Male,South,Secondary,Self-Employed,430405.3,152822.12,Car,769.0,0,41,34.62,2017-02-03,0
100166,45.0,Female,North,Post-Graduate,Salaried,698252.03,408195.53,Home,518.0,3,66,56.57,2018-07-12,1
100167,59.0,Female,North,Secondary,,458725.02,341637.21,Business,621.0,7,40,64.38,2021-02-27,1
100168,53.0,Male,East,Graduate,Self-Employed,685932.52,129487.16,Home,631.0,10,67,41.3,2018-02-15,1
100169,21.0,Female,North,Graduate,Salaried,978797.7,105470.54,Other,709.0,7,163,13.91,2018-02-20,1
100170,47.0,Female,East,Primary,Salaried,,102136.63,Business,595.0,5,57,54.32,2017-11-14,1
100171,33.0,Male,East,Secondary,Salaried,631201.6,200959.81,Car,554.0,4,132,74.51,2021-08-13,1
100172,61.0,Female,East,Post-Graduate,Salaried,433105.75,119248.14,Education,553.0,9,50,44.75,2016-01-20,1
100173,23.0,Female,South,Post-Graduate,Salaried,574143.74,396377.73,Car,742.0,9,162,74.99,2019-05-14,1
100174,59.0,Male,South,Graduate,Self-Employed,724245.27,107973.16,Home,591.0,1,184,34.79,2020-05-09,1
100175,,Male,West,Post-Graduate,Self-Employed,540366.34,142994.92,Education,,4,191,72.05,2021-05-10,0
100176,28.0,Male,West,Graduate,Unemployed,,432261.86,Other,701.0,11,130,65.04,2021-07-10,1
100177,47.0,Female,East,Graduate,Self-Employed,696668.73,218388.06,Business,,4,194,77.32,2016-06-17,1
100178,,Other,South,Graduate,Salaried,335317.68,300576.21,Business,514.0,1,70,65.37,2021-07-19,1
100179,57.0,Male,North,Primary,Salaried,663958.91,305741.8,Other,523.0,7,141,32.5,2018-03-08,1
100180,53.0,Female,West,Primary,Salaried,,75467.94,Home,645.0,9,168,73.04,2015-04-17,1
100181,62.0,Female,South,Graduate,Salaried,708482.84,346333.41,Car,690.0,4,129,56.88,2017-07-10,0
100182,64.0,Female,North,Graduate,Unemployed,,323593.72,Education,634.0,4,105,21.34,2021-07-21,0
100183,44.0,Male,North,Graduate,Salaried,540493.6,328301.17,Other,684.0,11,121,13.22,2016-12-10,1
100184,35.0,Male,South,Post-Graduate,Salaried,580594.66,168558.86,Home,521.0,0,50,35.61,2017-09-19,1
100185,52.0,Male,West,Graduate,Salaried,602168.35,284434.12,Home,526.0,0,35,65.08,2016-03-22,1
100186,52.0,Female,South,Graduate,Salaried,110812.16,229247.3,Education,830.0,10,28,53.28,2021-11-14,1
100187,44.0,Male,West,Secondary,Self-Employed,692739.71,261176.52,Other,,0,96,46.9,2022-10-24,0
100188,61.0,Female,East,Secondary,Salaried,799339.57,156733.71,Car,712.0,7,34,10.26,2017-12-08,1
100189,32.0,Male,South,Secondary,Salaried,450414.07,227170.66,Car,597.0,9,56,40.49,2022-05-28,1
100190,59.0,Male,South,Secondary,,,367228.21,Other,631.0,1,17,21.04,2015-12-05,0
100191,22.0,Female,West,Graduate,Unemployed,670722.32,20000.0,Business,650.0,7,12,41.82,2022-07-06,1
100192,23.0,Female,West,Secondary,Salaried,762059.44,206085.31,Car,755.0,11,42,79.42,2015-01-23,1
100193,57.0,Male,South,Post-Graduate,Salaried,602468.68,326651.08,Business,,5,121,71.57,2017-12-03,0
100194,37.0,Male,North,Post-Graduate,Salaried,707927.38,119456.99,Other,692.0,4,165,31.74,2019-11-30,0
100195,22.0,Other,North,Secondary,Salaried,,298042.38,Home,,5,31,51.55,2016-03-12,0
100196,22.0,Male,North,Primary,Salaried,397148.73,306284.26,Other,713.0,3,108,45.15,2017-06-27,0
100197,48.0,Male,East,Post-Graduate,Self-Employed,686229.4,231621.54,Home,674.0,11,107,19.1,2017-12-28,1
100198,43.0,Female,East,Post-Graduate,Self-Employed,,286149.73,Other,654.0,10,39,79.29,2016-08-16,1
100199,57.0,Male,West,Secondary,Self-Employed,283857.83,445437.27,Business,591.0,2,56,39.76,2022-01-04,1
100200,52.0,Male,East,Secondary,Salaried,669499.36,169316.63,Business,641.0,10,173,45.4,2017-09-23,1
100201,53.0,Male,North,Graduate,,,83459.61,Other,564.0,3,68,55.33,2015-10-04,1
100202,21.0,Male,South,Post-Graduate,Salaried,1140522.14,199062.41,Home,647.0,8,23,23.41,2016-05-06,1
100203,39.0,Male,East,Secondary,Salaried,164774.51,130660.07,Other,657.0,7,82,25.56,2015-03-24,1
100204,22.0,Male,East,Secondary,Salaried,610535.64,296202.92,Home,458.0,10,114,23.48,2020-11-19,1
100205,64.0,Male,North,Graduate,Salaried,376770.33,195338.97,Business,632.0,7,23,36.91,2018-06-03,1
100206,46.0,Male,East,Post-Graduate,,,323573.43,Education,,0,193,23.98,2016-04-12,1
100207,52.0,Female,West,Secondary,Self-Employed,519423.16,284942.13,Car,690.0,4,161,74.85,2022-10-17,0
100208,26.0,Male,South,Graduate,Self-Employed,802566.56,167775.09,Business,701.0,5,58,60.0,2018-03-10,0
100209,52.0,Male,North,Secondary,Self-Employed,753467.48,139288.59,Other,616.0,8,180,72.85,2017-09-24,1
100210,24.0,Female,West,Primary,,386449.58,82833.33,Other,694.0,9,12,69.39,2021-07-07,1
100211,31.0,Female,North,Primary,Salaried,454533.63,376167.96,Home,697.0,9,32,59.22,2017-08-10,1
100212,37.0,Male,West,Secondary,Salaried,531096.08,312934.3,Car,632.0,5,157,26.99,2018-07-16,0
100213,58.0,Female,South,Post-Graduate,Salaried,586493.71,200703.51,Business,773.0,0,118,53.07,2018-09-29,0
100214,44.0,Male,South,Primary,Salaried,560709.24,322750.76,Car,592.0,0,152,23.04,2017-09-26,1
100215,25.0,Male,West,Graduate,Salaried,745622.17,117476.23,Car,768.0,11,52,19.27,2023-01-08,1
100216,54.0,Female,West,Secondary,Salaried,646790.4,145017.09,Business,632.0,6,80,54.28,2015-04-04,0
100217,26.0,Female,West,Graduate,,477470.0,133029.13,Home,583.0,2,170,53.72,2017-07-11,1
100218,42.0,Male,West,Primary,Self-Employed,417509.44,283192.46,Home,622.0,6,64,20.96,2020-03-24,0
100219,31.0,Male,West,Post-Graduate,Salaried,436821.18,177443.04,Home,,4,135,34.67,2018-04-26,1
100220,36.0,Female,West,Graduate,Salaried,665998.61,75511.51,Education,713.0,0,91,14.64,2021-12-28,0
100221,53.0,Male,South,Primary,Salaried,561385.51,260959.13,Car,522.0,10,50,60.1,2022-03-14,1
100222,29.0,Female,West,Primary,Self-Employed,1016062.85,318763.11,Education,761.0,7,155,79.12,2023-02-06,1
100223,26.0,Male,East,Primary,Salaried,599951.33,233686.69,Home,575.0,8,140,61.79,2021-06-17,1
100224,36.0,Female,South,Graduate,Self-Employed,637746.08,386769.88,Business,717.0,5,12,69.09,2020-02-23,0
100225,49.0,Female,North,Primary,Salaried,239792.76,346335.11,Car,652.0,1,109,43.34,2019-12-10,0
100226,23.0,Female,South,Secondary,,332388.1,384241.42,Business,672.0,8,153,16.69,2018-03-04,1
100227,40.0,Female,North,Primary,Salaried,375719.72,344053.31,Other,603.0,1,180,60.86,2018-01-30,0
100228,56.0,Female,North,Secondary,Salaried,493393.87,278303.82,Car,678.0,5,32,27.96,2015-12-24,0
100229,,Male,East,Post-Graduate,Salaried,303552.56,100737.44,Business,661.0,9,152,37.18,2015-05-22,1
100230,46.0,Male,West,Secondary,Self-Employed,369014.14,208464.29,Home,533.0,3,136,59.22,2019-11-30,1
100231,23.0,Male,West,Post-Graduate,Salaried,732987.46,188510.17,Education,573.0,5,67,73.33,2022-11-18,1
100232,39.0,Female,South,Post-Graduate,Salaried,428027.51,143380.18,Business,607.0,3,177,44.04,2021-01-27,0
100233,40.0,Female,West,Secondary,Unemployed,591797.48,181022.79,Other,590.0,10,127,77.31,2020-08-21,1
100234,52.0,Male,East,Post-Graduate,Salaried,718428.06,74266.21,Home,750.0,2,175,46.39,2017-12-14,0
100235,27.0,Male,South,Secondary,Salaried,789323.99,356073.17,Other,651.0,11,126,18.58,2016-05-16,1
100236,61.0,Male,South,Graduate,Salaried,658504.83,122930.46,Education,588.0,10,91,46.29,2017-09-07,1
100237,53.0,Female,South,Post-Graduate,Self-Employed,670548.25,347593.23,Other,611.0,7,111,70.24,2020-06-01,1
100238,60.0,Male,West,Secondary,Self-Employed,795455.4,409209.01,Business,610.0,4,143,47.66,2017-06-04,0
100239,59.0,Female,West,Post-Graduate,Salaried,682853.16,158061.62,Business,627.0,0,117,62.34,2023-02-11,0
100240,38.0,Other,West,Primary,Unemployed,807085.09,183459.51,Home,564.0,7,55,48.36,2023-01-18,1
100241,60.0,Male,South,Secondary,Self-Employed,171321.5,309825.28,Education,585.0,2,15,48.22,2016-08-25,1
100242,21.0,Male,South,Primary,Salaried,583264.09,197621.38,Education,711.0,3,132,29.93,2015-11-21,0
100243,31.0,Male,North,Post-Graduate,Self-Employed,611137.5,154023.91,Car,665.0,8,101,24.09,2020-05-18,1
100244,48.0,Male,North,Post-Graduate,Salaried,576423.15,302914.93,Car,638.0,2,157,29.52,2019-09-19,0
100245,45.0,Male,West,Graduate,Self-Employed,624640.1,161125.11,Business,650.0,4,28,40.86,2021-12-19,0
100246,43.0,Male,South,Secondary,Salaried,518333.46,506529.68,Other,646.0,11,23,66.67,2015-11-12,1
100247,51.0,Female,West,Primary,,757795.5,317405.45,Other,633.0,7,74,68.03,2019-09-21,1
